Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards\edwaran01,Georgia,,,,,,,,,,,,,,,,,
2,2,GSW,James Wiseman\wisemja01,Memphis,,,,,,,,,,,,,,,,,
3,3,CHO,LaMelo Ball\ballla01,,,,,,,,,,,,,,,,,,
4,4,CHI,Patrick Williams\willipa01,Florida State,,,,,,,,,,,,,,,,,
5,5,CLE,Isaac Okoro\okorois01,Auburn,,,,,,,,,,,,,,,,,
6,6,ATL,Onyeka Okongwu\okongon01,USC,,,,,,,,,,,,,,,,,
7,7,DET,Killian Hayes\hayeski01,,,,,,,,,,,,,,,,,,
8,8,NYK,Obi Toppin\toppiob01,Dayton,,,,,,,,,,,,,,,,,
9,9,WAS,Deni Avdija\avdijde01,,,,,,,,,,,,,,,,,,
10,10,PHO,Jalen Smith\smithja04,Maryland,,,,,,,,,,,,,,,,,
11,11,SAS,Devin Vassell\vassede01,Florida State,,,,,,,,,,,,,,,,,
12,12,SAC,Tyrese Haliburton\halibty01,Iowa State,,,,,,,,,,,,,,,,,
13,13,NOP,Kira Lewis\lewiski01,Alabama,,,,,,,,,,,,,,,,,
14,14,BOS,Aaron Nesmith\nesmiaa01,Vanderbilt,,,,,,,,,,,,,,,,,
15,15,ORL,Cole Anthony\anthoco01,UNC,,,,,,,,,,,,,,,,,
16,16,POR,Isaiah Stewart\stewais01,Washington,,,,,,,,,,,,,,,,,
17,17,MIN,Aleksej Pokusevski\pokusal01,,,,,,,,,,,,,,,,,,
18,18,DAL,Josh Green\greenjo02,Arizona,,,,,,,,,,,,,,,,,
19,19,BRK,Saddiq Bey\beysa01,Villanova,,,,,,,,,,,,,,,,,
20,20,MIA,Precious Achiuwa\achiupr01,Memphis,,,,,,,,,,,,,,,,,
21,21,PHI,Tyrese Maxey\maxeyty01,Kentucky,,,,,,,,,,,,,,,,,
22,22,DEN,Zeke Nnaji\nnajize01,Arizona,,,,,,,,,,,,,,,,,
23,23,NYK,Leandro Bolmaro\bolmale01,,,,,,,,,,,,,,,,,,
24,24,MIL,R.J. Hampton\hamptrj01,,,,,,,,,,,,,,,,,,
25,25,OKC,Immanuel Quickley\quickim01,Kentucky,,,,,,,,,,,,,,,,,
26,26,BOS,Payton Pritchard\pritcpa01,Oregon,,,,,,,,,,,,,,,,,
27,27,UTA,Udoka Azubuike\azubuud01,Kansas,,,,,,,,,,,,,,,,,
28,28,LAL,Jaden McDaniels\mcdanja02,Washington,,,,,,,,,,,,,,,,,
29,29,TOR,Malachi Flynn\flynnma01,San Diego State,,,,,,,,,,,,,,,,,
30,30,BOS,Desmond Bane\banede01,TCU,,,,,,,,,,,,,,,,,
31,31,DAL,Tyrell Terry\terryty01,Stanford,,,,,,,,,,,,,,,,,
32,32,CHO,Vernon Carey\careyve01,Duke,,,,,,,,,,,,,,,,,
33,33,MIN,Daniel Oturu\oturuda01,Minnesota,,,,,,,,,,,,,,,,,
34,34,PHI,Théo Maledon\maledth01,,,,,,,,,,,,,,,,,,
35,35,SAC,Xavier Tillman\tillmxa01,Michigan State,,,,,,,,,,,,,,,,,
36,36,PHI,Tyler Bey\beyty01,Colorado,,,,,,,,,,,,,,,,,
37,37,WAS,Vit Krejci\krejcvi01,,,,,,,,,,,,,,,,,,
38,38,UTA,Saben Lee\leesa01,Vanderbilt,,,,,,,,,,,,,,,,,
39,39,NOP,Elijah Hughes\hugheel01,Syracuse,,,,,,,,,,,,,,,,,
40,40,MEM,Robert Woodard\woodaro01,Mississippi State,,,,,,,,,,,,,,,,,
41,41,SAS,Tre Jones\jonestr01,Duke,,,,,,,,,,,,,,,,,
42,42,NOP,Nick Richards\richani01,Kentucky,,,,,,,,,,,,,,,,,
43,43,SAC,Jahmi'us Ramsey\ramseja01,Texas Tech,,,,,,,,,,,,,,,,,
44,44,CHI,Marko Simonovic\simonma01,,,,,,,,,,,,,,,,,,
45,45,MIL,Jordan Nwora\nworajo01,Louisville,,,,,,,,,,,,,,,,,
46,46,POR,CJ Elleby\ellebcj01,Washington State,,,,,,,,,,,,,,,,,
47,47,BOS,Yam Madar\madarya01,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion\mannini01,Arizona,,,,,,,,,,,,,,,,,
49,49,PHI,Isaiah Joe\joeis01,Arkansas,,,,,,,,,,,,,,,,,
50,50,ATL,Skylar Mays\mayssk01,LSU,,,,,,,,,,,,,,,,,
51,51,GSW,Justinian Jessup\jessuju01,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin\martike04,,,,,,,,,,,,,,,,,,
53,53,OKC,Cassius Winston\winstca01,Michigan State,,,,,,,,,,,,,,,,,
54,54,IND,Cassius Stanley\stanlca01,Duke,,,,,,,,,,,,,,,,,
55,55,BRK,Jay Scrubb\scrubja01,John A. Logan College,,,,,,,,,,,,,,,,,
56,56,CHO,Grant Riller\rillegr01,College of Charleston,,,,,,,,,,,,,,,,,
57,57,LAC,Reggie Perry\perryre01,Mississippi State,,,,,,,,,,,,,,,,,
58,58,PHI,Paul Reed\reedpa01,DePaul,,,,,,,,,,,,,,,,,
59,59,TOR,Jalen Harris\harrija01,Nevada,,,,,,,,,,,,,,,,,
60,60,NOP,Sam Merrill\merrisa01,Utah State University,,,,,,,,,,,,,,,,,