Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Dec 22 2020,7:00p,Golden State Warriors,,Brooklyn Nets,,,,,
Tue Dec 22 2020,10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,
Wed Dec 23 2020,7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
Wed Dec 23 2020,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
Wed Dec 23 2020,7:00p,New York Knicks,,Indiana Pacers,,,,,
Wed Dec 23 2020,7:00p,Miami Heat,,Orlando Magic,,,,,
Wed Dec 23 2020,7:30p,Milwaukee Bucks,,Boston Celtics,,,,,
Wed Dec 23 2020,7:30p,New Orleans Pelicans,,Toronto Raptors,,,,,
Wed Dec 23 2020,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,
Wed Dec 23 2020,8:00p,Detroit Pistons,,Minnesota Timberwolves,,,,,
Wed Dec 23 2020,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
Wed Dec 23 2020,8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,
Wed Dec 23 2020,9:00p,Sacramento Kings,,Denver Nuggets,,,,,
Wed Dec 23 2020,10:00p,Utah Jazz,,Portland Trail Blazers,,,,,
Wed Dec 23 2020,10:30p,Dallas Mavericks,,Phoenix Suns,,,,,
Fri Dec 25 2020,12:00p,New Orleans Pelicans,,Miami Heat,,,,,
Fri Dec 25 2020,2:30p,Golden State Warriors,,Milwaukee Bucks,,,,,
Fri Dec 25 2020,5:00p,Brooklyn Nets,,Boston Celtics,,,,,
Fri Dec 25 2020,8:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,
Fri Dec 25 2020,10:30p,Los Angeles Clippers,,Denver Nuggets,,,,,
Sat Dec 26 2020,5:00p,Atlanta Hawks,,Memphis Grizzlies,,,,,
Sat Dec 26 2020,7:00p,Oklahoma City Thunder,,Charlotte Hornets,,,,,
Sat Dec 26 2020,7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
Sat Dec 26 2020,7:00p,Orlando Magic,,Washington Wizards,,,,,
Sat Dec 26 2020,7:30p,Philadelphia 76ers,,New York Knicks,,,,,
Sat Dec 26 2020,8:00p,Indiana Pacers,,Chicago Bulls,,,,,
Sat Dec 26 2020,8:30p,Toronto Raptors,,San Antonio Spurs,,,,,
Sat Dec 26 2020,9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,
Sat Dec 26 2020,10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
Sat Dec 26 2020,10:00p,Phoenix Suns,,Sacramento Kings,,,,,
Sun Dec 27 2020,3:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,
Sun Dec 27 2020,7:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
Sun Dec 27 2020,7:00p,Orlando Magic,,Washington Wizards,,,,,
Sun Dec 27 2020,7:00p,Brooklyn Nets,,Charlotte Hornets,,,,,
Sun Dec 27 2020,7:30p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,
Sun Dec 27 2020,7:30p,Milwaukee Bucks,,New York Knicks,,,,,
Sun Dec 27 2020,8:00p,Boston Celtics,,Indiana Pacers,,,,,
Sun Dec 27 2020,8:00p,Golden State Warriors,,Chicago Bulls,,,,,
Sun Dec 27 2020,9:00p,Phoenix Suns,,Sacramento Kings,,,,,
Sun Dec 27 2020,10:00p,Minnesota Timberwolves,,Los Angeles Lakers,,,,,
Mon Dec 28 2020,7:30p,Memphis Grizzlies,,Brooklyn Nets,,,,,
Mon Dec 28 2020,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,
Mon Dec 28 2020,8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,
Mon Dec 28 2020,9:00p,Houston Rockets,,Denver Nuggets,,,,,
Mon Dec 28 2020,10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
Tue Dec 29 2020,7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
Tue Dec 29 2020,7:00p,Golden State Warriors,,Detroit Pistons,,,,,
Tue Dec 29 2020,7:00p,Boston Celtics,,Indiana Pacers,,,,,
Tue Dec 29 2020,7:00p,Chicago Bulls,,Washington Wizards,,,,,
Tue Dec 29 2020,7:00p,Toronto Raptors,,Philadelphia 76ers,,,,,
Tue Dec 29 2020,7:30p,Milwaukee Bucks,,Miami Heat,,,,,
Tue Dec 29 2020,8:00p,Orlando Magic,,Oklahoma City Thunder,,,,,
Tue Dec 29 2020,10:00p,New Orleans Pelicans,,Phoenix Suns,,,,,
Tue Dec 29 2020,10:00p,Denver Nuggets,,Sacramento Kings,,,,,
Tue Dec 29 2020,10:00p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,
Wed Dec 30 2020,7:30p,Milwaukee Bucks,,Miami Heat,,,,,
Wed Dec 30 2020,7:30p,Atlanta Hawks,,Brooklyn Nets,,,,,
Wed Dec 30 2020,7:30p,Memphis Grizzlies,,Boston Celtics,,,,,
Wed Dec 30 2020,8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,
Wed Dec 30 2020,8:30p,Los Angeles Lakers,,San Antonio Spurs,,,,,
Wed Dec 30 2020,10:00p,Portland Trail Blazers,,Los Angeles Clippers,,,,,
Thu Dec 31 2020,3:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,
Thu Dec 31 2020,5:00p,Chicago Bulls,,Washington Wizards,,,,,
Thu Dec 31 2020,6:30p,Philadelphia 76ers,,Orlando Magic,,,,,
Thu Dec 31 2020,7:00p,Sacramento Kings,,Houston Rockets,,,,,
Thu Dec 31 2020,7:30p,New York Knicks,,Toronto Raptors,,,,,
Thu Dec 31 2020,8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,
Thu Dec 31 2020,9:00p,Phoenix Suns,,Utah Jazz,,,,,
Fri Jan 1 2021,7:00p,Memphis Grizzlies,,Charlotte Hornets,,,,,
Fri Jan 1 2021,7:00p,Miami Heat,,Dallas Mavericks,,,,,
Fri Jan 1 2021,7:00p,Boston Celtics,,Detroit Pistons,,,,,
Fri Jan 1 2021,7:30p,Atlanta Hawks,,Brooklyn Nets,,,,,
Fri Jan 1 2021,8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
Fri Jan 1 2021,8:00p,Washington Wizards,,Minnesota Timberwolves,,,,,
Fri Jan 1 2021,8:00p,Los Angeles Lakers,,San Antonio Spurs,,,,,
Fri Jan 1 2021,9:00p,Phoenix Suns,,Denver Nuggets,,,,,
Fri Jan 1 2021,9:00p,Los Angeles Clippers,,Utah Jazz,,,,,
Fri Jan 1 2021,10:30p,Portland Trail Blazers,,Golden State Warriors,,,,,
Sat Jan 2 2021,5:00p,Sacramento Kings,,Houston Rockets,,,,,
Sat Jan 2 2021,7:00p,New York Knicks,,Indiana Pacers,,,,,
Sat Jan 2 2021,7:00p,Oklahoma City Thunder,,Orlando Magic,,,,,
Sat Jan 2 2021,7:00p,Charlotte Hornets,,Philadelphia 76ers,,,,,
Sat Jan 2 2021,7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
Sat Jan 2 2021,7:30p,Toronto Raptors,,New Orleans Pelicans,,,,,
Sun Jan 3 2021,3:00p,Boston Celtics,,Detroit Pistons,,,,,
Sun Jan 3 2021,6:00p,Washington Wizards,,Brooklyn Nets,,,,,
Sun Jan 3 2021,6:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
Sun Jan 3 2021,7:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
Sun Jan 3 2021,7:00p,Utah Jazz,,San Antonio Spurs,,,,,
Sun Jan 3 2021,8:00p,Dallas Mavericks,,Chicago Bulls,,,,,
Sun Jan 3 2021,8:00p,Los Angeles Clippers,,Phoenix Suns,,,,,
Sun Jan 3 2021,8:30p,Portland Trail Blazers,,Golden State Warriors,,,,,
Mon Jan 4 2021,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,
Mon Jan 4 2021,7:00p,Charlotte Hornets,,Philadelphia 76ers,,,,,
Mon Jan 4 2021,7:30p,New York Knicks,,Atlanta Hawks,,,,,
Mon Jan 4 2021,7:30p,Oklahoma City Thunder,,Miami Heat,,,,,
Mon Jan 4 2021,7:30p,Boston Celtics,,Toronto Raptors,,,,,
Mon Jan 4 2021,8:00p,Dallas Mavericks,,Houston Rockets,,,,,
Mon Jan 4 2021,8:00p,Detroit Pistons,,Milwaukee Bucks,,,,,
Mon Jan 4 2021,8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,
Mon Jan 4 2021,10:00p,Sacramento Kings,,Golden State Warriors,,,,,
Tue Jan 5 2021,7:30p,Utah Jazz,,Brooklyn Nets,,,,,
Tue Jan 5 2021,8:00p,Los Angeles Lakers,,Memphis Grizzlies,,,,,
Tue Jan 5 2021,9:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,
Tue Jan 5 2021,10:00p,San Antonio Spurs,,Los Angeles Clippers,,,,,
Tue Jan 5 2021,10:30p,Chicago Bulls,,Portland Trail Blazers,,,,,
Wed Jan 6 2021,7:00p,Houston Rockets,,Indiana Pacers,,,,,
Wed Jan 6 2021,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,
Wed Jan 6 2021,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
Wed Jan 6 2021,7:30p,Charlotte Hornets,,Atlanta Hawks,,,,,
Wed Jan 6 2021,7:30p,Boston Celtics,,Miami Heat,,,,,
Wed Jan 6 2021,7:30p,Utah Jazz,,New York Knicks,,,,,
Wed Jan 6 2021,8:00p,Detroit Pistons,,Milwaukee Bucks,,,,,
Wed Jan 6 2021,8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,,,
Wed Jan 6 2021,9:00p,Toronto Raptors,,Phoenix Suns,,,,,
Wed Jan 6 2021,10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,
Wed Jan 6 2021,10:00p,Chicago Bulls,,Sacramento Kings,,,,,
Thu Jan 7 2021,7:30p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Thu Jan 7 2021,8:00p,Cleveland Cavaliers,,Memphis Grizzlies,,,,,
Thu Jan 7 2021,10:00p,Dallas Mavericks,,Denver Nuggets,,,,,
Thu Jan 7 2021,10:00p,San Antonio Spurs,,Los Angeles Lakers,,,,,
Thu Jan 7 2021,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
Fri Jan 8 2021,7:00p,Phoenix Suns,,Detroit Pistons,,,,,
Fri Jan 8 2021,7:30p,Washington Wizards,,Boston Celtics,,,,,
Fri Jan 8 2021,7:30p,Charlotte Hornets,,New Orleans Pelicans,,,,,
Fri Jan 8 2021,7:30p,Oklahoma City Thunder,,New York Knicks,,,,,
Fri Jan 8 2021,8:00p,Orlando Magic,,Houston Rockets,,,,,
Fri Jan 8 2021,8:00p,Brooklyn Nets,,Memphis Grizzlies,,,,,
Fri Jan 8 2021,8:00p,Utah Jazz,,Milwaukee Bucks,,,,,
Fri Jan 8 2021,10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,
Fri Jan 8 2021,10:00p,Chicago Bulls,,Los Angeles Lakers,,,,,
Fri Jan 8 2021,10:00p,Toronto Raptors,,Sacramento Kings,,,,,
Sat Jan 9 2021,3:00p,Denver Nuggets,,Philadelphia 76ers,,,,,
Sat Jan 9 2021,7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
Sat Jan 9 2021,7:00p,Phoenix Suns,,Indiana Pacers,,,,,
Sat Jan 9 2021,7:00p,Miami Heat,,Washington Wizards,,,,,
Sat Jan 9 2021,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,
Sat Jan 9 2021,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
Sat Jan 9 2021,8:30p,Orlando Magic,,Dallas Mavericks,,,,,
Sat Jan 9 2021,10:00p,Portland Trail Blazers,,Sacramento Kings,,,,,
Sun Jan 10 2021,3:00p,Utah Jazz,,Detroit Pistons,,,,,
Sun Jan 10 2021,4:00p,Chicago Bulls,,Los Angeles Clippers,,,,,
Sun Jan 10 2021,6:00p,Oklahoma City Thunder,,Brooklyn Nets,,,,,
Sun Jan 10 2021,6:00p,Denver Nuggets,,New York Knicks,,,,,
Sun Jan 10 2021,7:00p,Miami Heat,,Boston Celtics,,,,,
Sun Jan 10 2021,7:00p,Los Angeles Lakers,,Houston Rockets,,,,,
Sun Jan 10 2021,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
Sun Jan 10 2021,8:30p,Toronto Raptors,,Golden State Warriors,,,,,
Mon Jan 11 2021,7:00p,New York Knicks,,Charlotte Hornets,,,,,
Mon Jan 11 2021,7:00p,Memphis Grizzlies,,Cleveland Cavaliers,,,,,
Mon Jan 11 2021,7:00p,Milwaukee Bucks,,Orlando Magic,,,,,
Mon Jan 11 2021,7:00p,Phoenix Suns,,Washington Wizards,,,,,
Mon Jan 11 2021,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,
Mon Jan 11 2021,8:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,
Mon Jan 11 2021,10:00p,Toronto Raptors,,Portland Trail Blazers,,,,,
Mon Jan 11 2021,10:00p,Indiana Pacers,,Sacramento Kings,,,,,
Tue Jan 12 2021,7:00p,Miami Heat,,Philadelphia 76ers,,,,,
Tue Jan 12 2021,7:30p,Denver Nuggets,,Brooklyn Nets,,,,,
Tue Jan 12 2021,7:30p,Utah Jazz,,Cleveland Cavaliers,,,,,
Tue Jan 12 2021,8:00p,Boston Celtics,,Chicago Bulls,,,,,
Tue Jan 12 2021,8:00p,Los Angeles Lakers,,Houston Rockets,,,,,
Tue Jan 12 2021,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,
Tue Jan 12 2021,10:30p,Indiana Pacers,,Golden State Warriors,,,,,
Wed Jan 13 2021,7:00p,Dallas Mavericks,,Charlotte Hornets,,,,,
Wed Jan 13 2021,7:00p,Milwaukee Bucks,,Detroit Pistons,,,,,
Wed Jan 13 2021,7:00p,Utah Jazz,,Washington Wizards,,,,,
Wed Jan 13 2021,7:30p,Orlando Magic,,Boston Celtics,,,,,
Wed Jan 13 2021,7:30p,Brooklyn Nets,,New York Knicks,,,,,
Wed Jan 13 2021,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
Wed Jan 13 2021,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,
Wed Jan 13 2021,9:00p,Atlanta Hawks,,Phoenix Suns,,,,,
Wed Jan 13 2021,10:00p,New Orleans Pelicans,,Los Angeles Clippers,,,,,
Wed Jan 13 2021,10:00p,Portland Trail Blazers,,Sacramento Kings,,,,,
Thu Jan 14 2021,7:30p,Miami Heat,,Philadelphia 76ers,,,,,
Thu Jan 14 2021,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,
Thu Jan 14 2021,8:30p,Houston Rockets,,San Antonio Spurs,,,,,
Thu Jan 14 2021,10:00p,Golden State Warriors,,Denver Nuggets,,,,,
Thu Jan 14 2021,10:00p,Indiana Pacers,,Portland Trail Blazers,,,,,
Fri Jan 15 2021,7:00p,Washington Wizards,,Detroit Pistons,,,,,
Fri Jan 15 2021,7:30p,Orlando Magic,,Boston Celtics,,,,,
Fri Jan 15 2021,7:30p,New York Knicks,,Cleveland Cavaliers,,,,,
Fri Jan 15 2021,7:30p,Dallas Mavericks,,Milwaukee Bucks,,,,,
Fri Jan 15 2021,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
Fri Jan 15 2021,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,
Fri Jan 15 2021,9:00p,Golden State Warriors,,Phoenix Suns,,,,,
Fri Jan 15 2021,9:00p,Atlanta Hawks,,Utah Jazz,,,,,
Fri Jan 15 2021,10:00p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
Fri Jan 15 2021,10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,
Sat Jan 16 2021,5:00p,Houston Rockets,,San Antonio Spurs,,,,,
Sat Jan 16 2021,6:00p,Orlando Magic,,Brooklyn Nets,,,,,
Sat Jan 16 2021,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,
Sat Jan 16 2021,8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,,,
Sat Jan 16 2021,8:00p,Detroit Pistons,,Miami Heat,,,,,
Sat Jan 16 2021,9:00p,Indiana Pacers,,Phoenix Suns,,,,,
Sat Jan 16 2021,10:00p,Atlanta Hawks,,Portland Trail Blazers,,,,,
Sun Jan 17 2021,1:00p,New York Knicks,,Boston Celtics,,,,,
Sun Jan 17 2021,2:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Sun Jan 17 2021,3:00p,Chicago Bulls,,Dallas Mavericks,,,,,
Sun Jan 17 2021,7:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,
Sun Jan 17 2021,8:00p,Utah Jazz,,Denver Nuggets,,,,,
Sun Jan 17 2021,9:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
Sun Jan 17 2021,10:00p,Indiana Pacers,,Los Angeles Clippers,,,,,
Mon Jan 18 2021,12:00p,Orlando Magic,,New York Knicks,,,,,
Mon Jan 18 2021,2:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Mon Jan 18 2021,2:30p,Minnesota Timberwolves,,Atlanta Hawks,,,,,
Mon Jan 18 2021,3:00p,Detroit Pistons,,Miami Heat,,,,,
Mon Jan 18 2021,3:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,
Mon Jan 18 2021,5:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
Mon Jan 18 2021,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,
Mon Jan 18 2021,7:30p,Dallas Mavericks,,Toronto Raptors,,,,,
Mon Jan 18 2021,8:00p,Houston Rockets,,Chicago Bulls,,,,,
Mon Jan 18 2021,10:00p,Golden State Warriors,,Los Angeles Lakers,,,,,
Tue Jan 19 2021,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Tue Jan 19 2021,9:00p,New Orleans Pelicans,,Utah Jazz,,,,,
Wed Jan 20 2021,7:00p,Washington Wizards,,Charlotte Hornets,,,,,
Wed Jan 20 2021,7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
Wed Jan 20 2021,7:00p,Dallas Mavericks,,Indiana Pacers,,,,,
Wed Jan 20 2021,7:00p,Boston Celtics,,Philadelphia 76ers,,,,,
Wed Jan 20 2021,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,
Wed Jan 20 2021,7:30p,Miami Heat,,Toronto Raptors,,,,,
Wed Jan 20 2021,8:00p,Orlando Magic,,Minnesota Timberwolves,,,,,
Wed Jan 20 2021,9:30p,Phoenix Suns,,Houston Rockets,,,,,
Wed Jan 20 2021,10:00p,San Antonio Spurs,,Golden State Warriors,,,,,
Wed Jan 20 2021,10:00p,Sacramento Kings,,Los Angeles Clippers,,,,,
Wed Jan 20 2021,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
Thu Jan 21 2021,7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,,,
Thu Jan 21 2021,10:00p,New York Knicks,,Golden State Warriors,,,,,
Thu Jan 21 2021,10:00p,New Orleans Pelicans,,Utah Jazz,,,,,
Fri Jan 22 2021,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,
Fri Jan 22 2021,7:00p,Houston Rockets,,Detroit Pistons,,,,,
Fri Jan 22 2021,7:00p,Orlando Magic,,Indiana Pacers,,,,,
Fri Jan 22 2021,7:30p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
Fri Jan 22 2021,7:30p,Boston Celtics,,Philadelphia 76ers,,,,,
Fri Jan 22 2021,7:30p,Miami Heat,,Toronto Raptors,,,,,
Fri Jan 22 2021,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
Fri Jan 22 2021,8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,
Fri Jan 22 2021,8:30p,Dallas Mavericks,,San Antonio Spurs,,,,,
Fri Jan 22 2021,10:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
Fri Jan 22 2021,10:00p,Denver Nuggets,,Phoenix Suns,,,,,
Fri Jan 22 2021,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
Fri Jan 22 2021,10:00p,New York Knicks,,Sacramento Kings,,,,,
Sat Jan 23 2021,5:00p,Golden State Warriors,,Utah Jazz,,,,,
Sat Jan 23 2021,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
Sat Jan 23 2021,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Sat Jan 23 2021,8:00p,Los Angeles Lakers,,Chicago Bulls,,,,,
Sat Jan 23 2021,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,
Sat Jan 23 2021,8:30p,Houston Rockets,,Dallas Mavericks,,,,,
Sat Jan 23 2021,9:00p,Denver Nuggets,,Phoenix Suns,,,,,
Sun Jan 24 2021,3:30p,Toronto Raptors,,Indiana Pacers,,,,,
Sun Jan 24 2021,4:00p,Cleveland Cavaliers,,Boston Celtics,,,,,
Sun Jan 24 2021,4:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
Sun Jan 24 2021,6:00p,Charlotte Hornets,,Orlando Magic,,,,,
Sun Jan 24 2021,7:00p,Washington Wizards,,San Antonio Spurs,,,,,
Sun Jan 24 2021,7:30p,Atlanta Hawks,,Milwaukee Bucks,,,,,
Sun Jan 24 2021,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Sun Jan 24 2021,9:00p,New York Knicks,,Portland Trail Blazers,,,,,
Mon Jan 25 2021,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
Mon Jan 25 2021,7:00p,Toronto Raptors,,Indiana Pacers,,,,,
Mon Jan 25 2021,7:00p,Charlotte Hornets,,Orlando Magic,,,,,
Mon Jan 25 2021,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Mon Jan 25 2021,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,
Mon Jan 25 2021,8:00p,Boston Celtics,,Chicago Bulls,,,,,
Mon Jan 25 2021,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Mon Jan 25 2021,8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
Mon Jan 25 2021,8:30p,Denver Nuggets,,Dallas Mavericks,,,,,
Mon Jan 25 2021,10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,
Mon Jan 25 2021,10:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
Tue Jan 26 2021,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
Tue Jan 26 2021,8:00p,Washington Wizards,,Houston Rockets,,,,,
Tue Jan 26 2021,9:00p,New York Knicks,,Utah Jazz,,,,,
Wed Jan 27 2021,7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
Wed Jan 27 2021,7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
Wed Jan 27 2021,7:00p,Sacramento Kings,,Orlando Magic,,,,,
Wed Jan 27 2021,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,
Wed Jan 27 2021,7:30p,Denver Nuggets,,Miami Heat,,,,,
Wed Jan 27 2021,7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
Wed Jan 27 2021,7:30p,Milwaukee Bucks,,Toronto Raptors,,,,,
Wed Jan 27 2021,8:00p,Chicago Bulls,,Memphis Grizzlies,,,,,
